Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Total_Delay,Overall_Service_Score
Female,disloyal Customer,27,Business travel,Business,631.0,3,4,4,3,5,2,4,5,5,4,4,2,4,5,11.0,6.0,neutral or dissatisfied,17.0,4.1
Female,disloyal Customer,35,Business travel,Business,354.0,2,2,2,3,2,2,3,3,3,3,4,3,2,2,6.0,0.0,neutral or dissatisfied,6.0,2.7
Female,Loyal Customer,44,Business travel,Eco Plus,1300.0,3,4,3,2,3,2,3,3,2,2,2,3,2,2,0.0,0.0,satisfied,0.0,2.5
Female,Loyal Customer,47,Business travel,Eco Plus,658.0,3,3,3,3,2,4,3,3,2,2,2,5,2,3,1.0,2.0,neutral or dissatisfied,3.0,2.7
Male,disloyal Customer,19,Business travel,Business,704.0,5,5,5,1,3,5,3,3,4,3,5,4,2,4,0.0,0.0,neutral or dissatisfied,0.0,3.6
Male,Loyal Customer,25,Personal Travel,Eco,693.0,3,3,2,3,4,1,2,2,2,3,4,3,2,1,0.0,0.0,neutral or dissatisfied,0.0,2.6
Female,Loyal Customer,48,Business travel,Eco,349.0,3,2,3,3,2,2,2,2,2,3,4,3,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.5
Male,Loyal Customer,31,Personal Travel,Eco,2189.0,2,2,1,3,1,2,3,2,2,2,2,3,3,2,1.0,0.0,neutral or dissatisfied,1.0,2.2
Female,Loyal Customer,13,Business travel,Business,1171.0,4,4,3,4,4,4,3,4,5,3,5,3,4,4,1.0,14.0,satisfied,15.0,3.9
Female,Loyal Customer,28,Business travel,Eco,1014.0,1,3,2,4,1,1,2,0,1,0,4,4,1,2,0.0,0.0,neutral or dissatisfied,0.0,1.6
Male,Loyal Customer,40,Business travel,Business,359.0,5,4,5,5,3,5,4,3,2,3,3,5,3,4,22.0,20.0,neutral or dissatisfied,42.0,3.5
Male,Loyal Customer,15,Business travel,Eco,1891.0,2,4,3,2,2,3,2,3,3,2,4,3,3,1,0.0,0.0,neutral or dissatisfied,0.0,2.5
Female,Loyal Customer,65,Business travel,Business,697.0,4,5,5,2,4,5,5,4,4,4,4,5,4,5,2.0,0.0,satisfied,2.0,4.3
Female,disloyal Customer,58,Business travel,Business,394.0,4,5,4,2,4,5,5,5,5,5,3,3,5,5,0.0,0.0,satisfied,0.0,4.4
Female,Loyal Customer,54,Business travel,Business,1473.0,5,5,5,3,4,5,4,5,5,3,5,4,4,5,0.0,0.0,satisfied,0.0,4.4
Male,Loyal Customer,41,Business travel,Business,255.0,3,1,4,2,4,4,5,5,5,5,3,3,5,4,24.0,29.0,satisfied,53.0,4.2
Male,Loyal Customer,21,Business travel,Business,2195.0,5,4,4,3,4,5,4,5,3,4,3,2,3,4,5.0,3.0,satisfied,8.0,3.7
Female,disloyal Customer,27,Business travel,Eco,439.0,2,5,3,1,3,2,4,3,3,3,3,3,3,3,21.0,15.0,neutral or dissatisfied,36.0,3.0
Female,Loyal Customer,60,Business travel,Business,822.0,5,4,4,1,4,4,4,3,3,2,3,2,3,3,0.0,0.0,satisfied,0.0,3.2
Male,Loyal Customer,28,Business travel,Eco,2678.5,2,4,2,3,1,3,2,2,2,1,2,3,3,2,0.0,0.0,neutral or dissatisfied,0.0,2.0
Female,Loyal Customer,40,Personal Travel,Eco,686.0,2,4,2,3,4,2,2,3,2,3,5,3,4,3,0.0,0.0,satisfied,0.0,3.1
Female,Loyal Customer,36,Personal Travel,Eco,321.0,3,5,3,1,1,3,2,2,3,2,5,3,2,2,1.0,7.0,neutral or dissatisfied,8.0,2.5
Male,Loyal Customer,38,Business travel,Eco,778.0,2,3,0,3,1,2,1,1,1,2,4,4,3,1,0.0,0.0,neutral or dissatisfied,0.0,2.0
Female,disloyal Customer,38,Business travel,Business,782.0,5,5,5,5,4,5,3,3,3,3,2,1,2,2,0.0,0.0,satisfied,0.0,2.8
Female,Loyal Customer,36,Business travel,Eco,809.0,3,3,3,5,1,3,1,3,2,3,2,5,2,2,32.5,40.0,neutral or dissatisfied,72.5,2.4
Female,Loyal Customer,33,Business travel,Business,1305.0,4,4,5,3,4,4,2,3,4,3,1,4,4,4,29.0,32.0,satisfied,61.0,3.3
Female,disloyal Customer,35,Business travel,Business,2282.0,4,5,4,2,4,5,4,5,4,4,3,4,5,5,5.0,0.0,neutral or dissatisfied,5.0,4.2
Male,Loyal Customer,37,Business travel,Eco,953.0,3,2,2,3,1,3,0,0,1,0,4,5,2,1,0.0,0.0,satisfied,0.0,1.7
Female,disloyal Customer,26,Personal Travel,Eco,291.0,2,3,1,4,4,2,4,4,3,4,3,3,4,4,3.0,20.0,neutral or dissatisfied,23.0,3.5
Male,Loyal Customer,19,Personal Travel,Eco,829.0,3,4,2,4,2,3,1,2,1,1,3,4,2,1,30.0,40.0,neutral or dissatisfied,70.0,2.0
Female,Loyal Customer,34,Business travel,Eco Plus,703.0,3,4,3,5,2,3,2,1,2,1,3,3,3,2,0.0,0.0,neutral or dissatisfied,0.0,2.2
Male,disloyal Customer,27,Business travel,Eco,2587.0,1,4,1,2,2,2,1,1,0,2,3,3,1,2,15.0,14.0,neutral or dissatisfied,29.0,1.6
Female,Loyal Customer,39,Business travel,Business,2124.0,4,4,5,3,4,5,3,3,5,5,4,2,4,4,32.5,40.0,satisfied,72.5,3.8
Female,Loyal Customer,24,Business travel,Eco,315.0,3,5,3,3,1,3,1,1,1,0,3,2,2,2,0.0,0.0,neutral or dissatisfied,0.0,1.6
Female,disloyal Customer,12,Business travel,Business,906.0,4,3,4,1,4,4,3,4,4,4,3,5,4,3,0.0,0.0,satisfied,0.0,3.8
Male,Loyal Customer,62,Business travel,Eco,597.0,3,4,3,2,1,3,2,2,2,2,5,3,2,1,17.0,30.0,neutral or dissatisfied,47.0,2.3
Male,Loyal Customer,31,Business travel,Eco,124.0,2,3,2,2,2,2,2,2,2,2,3,4,2,2,13.0,23.0,neutral or dissatisfied,36.0,2.3
Female,Loyal Customer,7,Business travel,Business,1914.0,5,3,3,2,3,5,4,4,4,3,4,4,5,4,0.0,0.0,satisfied,0.0,4.0
Male,Loyal Customer,51,Business travel,Eco Plus,480.0,5,5,5,3,3,3,3,3,3,2,4,3,2,3,0.0,0.0,neutral or dissatisfied,0.0,3.1
Male,Loyal Customer,33,Business travel,Business,529.0,3,4,3,4,5,3,4,5,4,4,5,5,5,5,14.0,12.0,neutral or dissatisfied,26.0,4.5
Female,Loyal Customer,39,Personal Travel,Eco,1440.0,2,4,2,5,1,2,2,2,3,3,4,2,3,2,0.0,0.0,neutral or dissatisfied,0.0,2.4
Female,Loyal Customer,42,Business travel,Business,585.0,4,2,3,2,4,4,4,4,4,3,3,3,4,3,4.0,0.0,satisfied,4.0,3.6
Female,Loyal Customer,54,Business travel,Eco,1182.0,4,3,4,3,3,3,4,3,4,3,3,2,4,3,5.0,0.0,satisfied,5.0,3.3
Male,Loyal Customer,43,Business travel,Business,779.0,3,3,3,3,5,3,5,5,5,3,4,2,4,4,24.0,33.0,satisfied,57.0,4.0
Female,disloyal Customer,18,Business travel,Business,2603.0,4,5,5,3,5,5,4,4,4,4,3,3,3,4,1.0,11.0,neutral or dissatisfied,12.0,3.8
Female,Loyal Customer,21,Business travel,Eco,650.0,3,4,3,3,3,3,2,3,2,3,2,4,2,3,31.0,31.0,neutral or dissatisfied,62.0,2.7
Female,disloyal Customer,17,Business travel,Business,406.0,3,3,3,2,2,3,5,4,5,3,2,3,4,4,13.0,14.0,neutral or dissatisfied,27.0,3.5
Male,Loyal Customer,31,Business travel,Eco Plus,1736.0,2,4,2,3,4,3,3,4,5,3,4,3,4,4,32.5,40.0,neutral or dissatisfied,72.5,3.6
Female,disloyal Customer,44,Business travel,Business,351.0,5,5,5,2,3,5,5,5,5,5,4,4,5,5,11.0,8.0,neutral or dissatisfied,19.0,4.6
Female,Loyal Customer,26,Business travel,Eco,1095.0,1,3,2,3,2,1,3,2,2,2,4,2,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.2
Male,Loyal Customer,28,Business travel,Eco,902.0,3,3,3,3,2,2,2,2,2,1,3,5,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.4
Female,disloyal Customer,28,Business travel,Business,882.0,5,4,4,1,3,3,3,3,4,2,3,3,4,3,0.0,0.0,neutral or dissatisfied,0.0,3.3
Female,Loyal Customer,30,Business travel,Business,653.0,4,4,4,2,3,3,5,5,4,4,5,4,5,5,0.0,0.0,neutral or dissatisfied,0.0,4.4
Male,Loyal Customer,49,Personal Travel,Eco,959.0,2,3,3,3,2,2,2,3,2,3,4,4,2,3,0.0,0.0,neutral or dissatisfied,0.0,2.7
Male,Loyal Customer,34,Business travel,Eco,347.0,2,4,2,2,3,2,3,4,4,3,3,2,3,3,0.0,0.0,neutral or dissatisfied,0.0,3.0
Female,Loyal Customer,55,Personal Travel,Eco,505.0,1,1,1,2,2,1,2,1,1,1,3,3,1,2,9.0,7.0,neutral or dissatisfied,16.0,1.7
Male,Loyal Customer,31,Business travel,Business,2285.0,5,5,4,4,4,5,5,4,3,5,3,3,4,3,0.0,0.0,satisfied,0.0,3.9
Male,Loyal Customer,39,Business travel,Eco Plus,351.0,3,4,3,3,2,3,2,3,4,3,3,4,2,3,5.0,17.0,neutral or dissatisfied,22.0,2.9
Female,Loyal Customer,36,Business travel,Business,1547.0,3,4,4,4,2,4,2,3,3,1,1,3,3,3,4.0,4.0,satisfied,8.0,2.4
Female,Loyal Customer,43,Business travel,Business,652.0,3,5,4,2,4,4,3,3,3,2,3,5,3,3,0.0,0.0,satisfied,0.0,3.2
Female,Loyal Customer,47,Business travel,Business,989.0,4,4,4,4,3,4,4,4,4,3,3,3,4,4,15.0,17.0,satisfied,32.0,3.6
Female,Loyal Customer,39,Business travel,Business,1717.0,3,5,4,2,4,4,5,5,5,5,4,4,4,5,6.0,24.0,satisfied,30.0,4.4
Male,Loyal Customer,79,Business travel,Business,613.0,5,4,5,1,4,5,5,5,5,4,5,4,5,5,0.0,0.0,satisfied,0.0,4.7
Female,Loyal Customer,62,Business travel,Business,379.0,4,5,3,3,2,4,3,3,2,3,4,3,3,2,0.0,0.0,satisfied,0.0,2.9
Male,Loyal Customer,31,Personal Travel,Eco,779.0,3,2,2,3,2,3,3,2,2,2,3,5,4,3,0.0,0.0,neutral or dissatisfied,0.0,2.9
Male,Loyal Customer,59,Business travel,Eco,712.0,2,1,1,2,3,0,1,2,2,1,2,4,1,2,0.0,0.0,neutral or dissatisfied,0.0,2.0
Male,Loyal Customer,58,Business travel,Business,1224.0,4,3,4,3,4,5,5,5,4,4,3,4,5,4,0.0,0.0,neutral or dissatisfied,0.0,4.2
Male,Loyal Customer,20,Business travel,Business,1449.0,4,5,3,2,3,4,4,4,4,4,3,2,4,5,32.5,40.0,neutral or dissatisfied,72.5,3.7
Female,Loyal Customer,8,Personal Travel,Eco,2419.0,3,5,4,4,1,4,2,2,2,2,3,5,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.4
Female,Loyal Customer,43,Personal Travel,Eco,884.0,3,4,3,2,4,2,3,2,3,3,3,3,4,3,0.0,0.0,neutral or dissatisfied,0.0,3.1
Female,Loyal Customer,38,Business travel,Business,612.0,4,3,5,3,5,5,4,4,3,4,3,4,4,4,1.0,0.0,satisfied,1.0,3.9
Male,Loyal Customer,7,Business travel,Business,604.0,4,5,3,1,4,4,4,5,5,4,4,2,4,4,0.0,0.0,satisfied,0.0,4.0
Male,Loyal Customer,42,Business travel,Business,2213.0,4,5,5,4,4,4,4,5,4,3,3,3,3,4,8.0,4.0,neutral or dissatisfied,12.0,3.7
Female,Loyal Customer,40,Business travel,Eco Plus,261.0,2,3,2,4,3,2,3,3,4,2,4,3,3,3,0.0,0.0,satisfied,0.0,3.0
Female,Loyal Customer,30,Personal Travel,Eco,2263.0,1,3,2,3,3,2,3,2,3,2,4,3,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.5
Female,Loyal Customer,63,Business travel,Business,160.0,4,5,3,2,5,3,5,5,5,5,4,1,4,5,32.5,35.0,satisfied,67.5,4.3
Male,Loyal Customer,36,Personal Travel,Eco Plus,1058.0,2,1,3,2,3,3,4,4,3,3,5,4,4,5,27.0,27.0,neutral or dissatisfied,54.0,3.7
Male,Loyal Customer,34,Business travel,Eco Plus,914.0,2,4,4,3,5,3,3,3,5,4,2,2,5,4,14.0,0.0,neutral or dissatisfied,14.0,3.5
Female,Loyal Customer,40,Personal Travel,Eco,961.0,2,4,1,2,1,2,1,1,2,1,3,3,0,0,5.0,0.0,neutral or dissatisfied,5.0,1.4
Male,Loyal Customer,19,Business travel,Business,1253.0,3,3,3,3,4,3,5,5,5,4,2,4,4,4,12.0,16.0,satisfied,28.0,4.0
Female,Loyal Customer,26,Business travel,Eco,509.0,1,4,1,3,2,1,2,1,1,2,4,2,2,2,14.0,2.0,neutral or dissatisfied,16.0,1.9
Male,Loyal Customer,7,Business travel,Business,538.0,4,4,3,4,3,3,5,4,5,5,2,4,5,4,12.0,2.0,satisfied,14.0,4.1
Female,disloyal Customer,45,Business travel,Business,1270.0,3,3,4,2,3,3,5,5,5,5,3,4,5,5,0.0,0.0,satisfied,0.0,4.3
Female,Loyal Customer,53,Personal Travel,Eco Plus,596.0,5,5,5,2,2,5,2,2,3,2,4,4,3,2,0.0,0.0,satisfied,0.0,2.9
Male,Loyal Customer,44,Business travel,Business,2335.0,4,5,4,3,3,5,4,4,4,5,3,5,4,5,26.0,8.0,satisfied,34.0,4.1
Female,Loyal Customer,43,Personal Travel,Eco,231.0,2,3,2,3,1,2,2,1,2,1,4,4,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.1
Female,Loyal Customer,38,Business travel,Business,1645.0,4,5,3,1,4,4,5,5,4,4,2,5,5,5,13.0,31.0,satisfied,44.0,4.3
Female,Loyal Customer,62,Business travel,Business,1261.0,2,5,3,2,4,4,5,4,5,4,2,3,5,5,28.0,36.0,neutral or dissatisfied,64.0,3.9
Male,Loyal Customer,37,Business travel,Business,344.0,2,3,4,3,3,2,4,4,4,3,5,4,4,3,8.0,0.0,satisfied,8.0,3.6
Male,disloyal Customer,53,Business travel,Business,734.0,4,3,3,2,4,3,4,4,4,3,3,4,4,4,24.0,40.0,satisfied,64.0,3.8
Female,disloyal Customer,51,Personal Travel,Business,336.0,3,3,3,4,4,3,5,5,5,4,4,4,5,5,2.0,9.0,neutral or dissatisfied,11.0,4.4
Male,Loyal Customer,19,Business travel,Eco,2665.0,3,1,2,5,4,3,4,4,4,4,3,4,3,4,0.0,0.0,neutral or dissatisfied,0.0,3.7
Female,Loyal Customer,49,Business travel,Eco,1146.0,4,2,5,3,3,3,3,2,2,2,4,5,3,3,32.5,40.0,neutral or dissatisfied,72.5,3.1
Female,Loyal Customer,23,Business travel,Eco,1300.0,4,4,3,3,2,3,3,2,4,3,3,3,4,2,0.0,0.0,neutral or dissatisfied,0.0,3.0
Female,Loyal Customer,31,Personal Travel,Eco,660.0,1,5,2,4,3,2,2,4,4,3,3,3,4,4,0.0,0.0,neutral or dissatisfied,0.0,3.1
Female,Loyal Customer,37,Personal Travel,Business,309.0,4,5,4,3,3,4,3,3,4,5,2,5,4,4,0.0,0.0,satisfied,0.0,3.7
Male,disloyal Customer,58,Personal Travel,Eco Plus,821.0,3,4,3,3,3,4,2,3,3,1,3,2,3,2,2.0,9.0,neutral or dissatisfied,11.0,2.5
Male,Loyal Customer,29,Business travel,Eco,1137.0,3,4,3,2,2,2,3,2,3,2,3,3,3,3,0.0,0.0,neutral or dissatisfied,0.0,2.7
Male,Loyal Customer,44,Business travel,Eco Plus,240.0,4,5,5,5,3,4,5,3,4,5,3,3,3,4,15.0,10.0,satisfied,25.0,3.7
Male,disloyal Customer,16,Business travel,Business,373.0,3,2,4,2,3,3,4,5,4,3,3,3,4,4,31.0,27.0,neutral or dissatisfied,58.0,3.6
Female,Loyal Customer,37,Personal Travel,Eco,2678.5,3,3,2,3,2,2,1,2,2,2,5,4,2,1,32.5,40.0,neutral or dissatisfied,72.5,2.4
Male,Loyal Customer,32,Business travel,Eco,1663.0,2,2,3,2,4,2,3,3,4,3,5,4,4,2,0.0,0.0,neutral or dissatisfied,0.0,3.4
Male,disloyal Customer,58,Personal Travel,Eco,1018.0,1,3,1,3,3,3,4,3,4,4,4,1,4,3,0.0,0.0,satisfied,0.0,3.1
Female,Loyal Customer,28,Personal Travel,Eco,1596.0,1,0,1,4,2,1,2,1,3,2,2,2,3,2,28.0,17.0,neutral or dissatisfied,45.0,2.0
Male,Loyal Customer,16,Personal Travel,Eco,371.0,0,4,1,2,2,1,2,1,2,2,3,5,1,2,2.0,0.0,neutral or dissatisfied,2.0,2.0
Male,Loyal Customer,33,Personal Travel,Eco,1700.0,3,5,3,2,3,3,3,3,3,3,5,3,3,3,0.0,0.0,satisfied,0.0,3.2
Male,disloyal Customer,30,Business travel,Business,2238.0,5,5,5,2,5,5,5,5,5,5,4,3,4,5,2.0,0.0,neutral or dissatisfied,2.0,4.6
Male,Loyal Customer,43,Business travel,Business,735.0,4,4,3,3,4,3,5,4,4,5,3,2,5,4,12.0,8.0,satisfied,20.0,4.0
Male,Loyal Customer,59,Business travel,Business,1347.0,3,4,3,3,3,2,5,4,5,4,3,2,5,4,19.0,17.0,satisfied,36.0,3.8
Female,Loyal Customer,34,Business travel,Business,2366.0,3,5,3,3,5,4,4,4,4,5,2,3,4,4,6.0,0.0,satisfied,6.0,3.8
Female,Loyal Customer,45,Personal Travel,Eco,1151.0,2,2,3,3,4,2,3,4,4,3,2,3,3,4,32.5,28.0,neutral or dissatisfied,60.5,3.2
Male,disloyal Customer,38,Business travel,Business,667.0,3,4,3,3,4,2,5,5,4,4,4,2,4,5,0.0,0.0,satisfied,0.0,4.0
Female,Loyal Customer,47,Personal Travel,Eco,1181.0,4,5,4,4,2,3,2,2,2,1,4,3,2,2,1.0,0.0,neutral or dissatisfied,1.0,2.4
Male,disloyal Customer,25,Personal Travel,Eco,492.0,4,2,4,3,2,3,3,2,2,3,3,3,2,2,5.0,0.0,satisfied,5.0,2.6
Female,Loyal Customer,39,Business travel,Eco,1069.0,2,3,1,2,3,2,2,2,2,2,2,1,3,2,0.0,0.0,neutral or dissatisfied,0.0,2.1
Female,Loyal Customer,54,Business travel,Business,1354.0,5,5,5,3,2,5,5,3,4,4,3,1,4,5,0.0,0.0,satisfied,0.0,3.6
Male,disloyal Customer,28,Business travel,Eco Plus,830.0,3,5,3,3,3,4,2,3,4,2,2,4,2,3,11.0,11.0,neutral or dissatisfied,22.0,2.8
Female,Loyal Customer,37,Business travel,Eco,905.0,3,5,3,2,3,3,3,2,3,4,3,3,2,3,1.0,0.0,neutral or dissatisfied,1.0,2.9
Male,Loyal Customer,38,Business travel,Business,1535.0,4,4,4,2,4,4,4,4,4,4,4,3,4,4,0.0,0.0,satisfied,0.0,3.9
Female,disloyal Customer,17,Personal Travel,Eco,956.0,3,3,2,2,3,3,2,2,3,2,3,4,2,3,8.0,0.0,neutral or dissatisfied,8.0,2.7
Female,Loyal Customer,50,Personal Travel,Eco,1016.0,4,3,4,3,1,4,2,3,2,2,3,3,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.4
Female,Loyal Customer,31,Business travel,Business,460.0,5,5,5,3,5,5,5,5,5,3,3,4,5,5,0.0,0.0,satisfied,0.0,4.5
Male,disloyal Customer,39,Personal Travel,Eco,1355.0,3,3,3,3,4,2,2,3,4,3,4,2,4,3,5.0,14.0,satisfied,19.0,3.2
Female,Loyal Customer,49,Business travel,Business,276.0,3,3,2,2,3,2,4,4,3,3,3,2,3,4,1.0,0.0,neutral or dissatisfied,1.0,3.2
Male,Loyal Customer,50,Personal Travel,Eco,211.0,3,5,3,2,2,2,3,3,3,2,3,5,3,2,8.0,16.0,satisfied,24.0,2.9
Male,Loyal Customer,22,Personal Travel,Eco,415.0,3,3,3,4,2,3,3,3,2,2,3,5,2,3,10.0,9.0,neutral or dissatisfied,19.0,2.8
Male,Loyal Customer,46,Personal Travel,Eco Plus,476.0,2,3,3,4,3,3,3,3,3,4,3,5,2,4,3.0,6.0,neutral or dissatisfied,9.0,3.2
Male,Loyal Customer,54,Business travel,Eco,527.0,2,3,2,2,1,3,1,0,1,0,3,3,2,0,5.0,3.0,neutral or dissatisfied,8.0,1.3
Female,Loyal Customer,30,Personal Travel,Eco,176.0,3,3,2,3,2,3,3,2,3,2,5,4,3,2,8.0,8.0,neutral or dissatisfied,16.0,2.9
Male,Loyal Customer,51,Business travel,Business,1470.0,5,4,5,2,3,4,5,4,5,3,3,3,5,4,20.0,21.0,satisfied,41.0,4.0
Male,Loyal Customer,46,Business travel,Eco,271.0,1,0,1,4,3,1,4,3,3,3,2,4,4,3,18.0,23.0,satisfied,41.0,3.0
Female,Loyal Customer,47,Business travel,Business,954.0,3,4,4,3,5,3,5,5,5,4,4,2,5,5,32.5,40.0,satisfied,72.5,4.3
Male,Loyal Customer,52,Business travel,Eco Plus,235.0,5,2,5,3,3,4,4,3,4,4,3,3,4,3,11.0,9.0,neutral or dissatisfied,20.0,3.6
Female,Loyal Customer,26,Business travel,Business,300.0,5,5,5,2,4,5,5,4,5,4,3,2,5,5,3.0,7.0,satisfied,10.0,4.2
Female,Loyal Customer,25,Business travel,Business,521.0,2,3,3,4,4,3,4,4,5,4,3,2,5,5,20.0,13.0,satisfied,33.0,3.8
Female,Loyal Customer,57,Personal Travel,Business,1755.0,5,4,4,3,4,4,4,4,4,3,2,3,4,3,8.0,0.0,satisfied,8.0,3.6
Male,Loyal Customer,35,Business travel,Eco,784.0,3,3,3,4,3,2,3,3,3,3,3,3,3,3,17.0,25.0,neutral or dissatisfied,42.0,3.0
Female,disloyal Customer,18,Personal Travel,Eco,615.0,1,5,0,4,3,0,2,3,1,3,2,3,2,2,26.0,40.0,neutral or dissatisfied,66.0,2.2
Male,Loyal Customer,37,Personal Travel,Eco,31.0,3,3,2,3,3,2,2,3,2,0,3,4,3,2,28.0,40.0,neutral or dissatisfied,68.0,2.5
Male,Loyal Customer,38,Business travel,Business,664.0,5,4,4,1,3,5,3,3,4,2,2,5,4,4,0.0,0.0,satisfied,0.0,3.5
Male,disloyal Customer,43,Personal Travel,Eco,670.0,1,0,1,3,1,2,2,1,1,2,2,4,2,2,0.0,0.0,neutral or dissatisfied,0.0,1.8
Male,Loyal Customer,34,Business travel,Eco,1070.0,3,5,3,3,3,4,1,1,2,0,4,3,2,2,5.0,11.0,satisfied,16.0,2.1
Female,Loyal Customer,66,Business travel,Business,846.0,5,5,4,3,4,5,5,4,3,4,3,4,5,5,7.0,9.0,satisfied,16.0,4.2
Male,Loyal Customer,26,Personal Travel,Eco,712.0,2,3,4,2,1,3,2,2,2,2,3,3,1,1,30.0,26.0,satisfied,56.0,1.9
Male,Loyal Customer,11,Personal Travel,Business,462.0,3,5,4,3,3,3,4,5,5,5,4,3,5,5,0.0,0.0,satisfied,0.0,4.2
Male,Loyal Customer,18,Business travel,Eco,821.0,4,1,2,3,3,2,3,3,3,2,3,5,4,3,3.0,10.0,neutral or dissatisfied,13.0,3.3
Male,Loyal Customer,29,Personal Travel,Eco,2114.0,2,5,3,2,3,3,1,3,2,2,5,3,3,2,2.0,0.0,neutral or dissatisfied,2.0,2.6
Male,Loyal Customer,47,Business travel,Eco,1207.0,4,2,4,2,2,3,1,1,2,3,3,4,2,1,10.0,11.0,satisfied,21.0,2.3
Female,Loyal Customer,37,Personal Travel,Business,874.0,5,4,4,2,4,3,3,3,4,4,2,2,4,3,6.0,9.0,neutral or dissatisfied,15.0,3.4
Female,disloyal Customer,45,Business travel,Eco,1575.0,1,4,1,2,2,1,1,1,1,1,2,4,1,2,0.0,0.0,neutral or dissatisfied,0.0,1.6
Male,Loyal Customer,30,Business travel,Business,574.0,3,5,5,4,4,4,3,3,4,5,5,4,3,4,0.0,0.0,satisfied,0.0,3.8
Female,Loyal Customer,46,Personal Travel,Business,456.0,5,5,5,3,5,5,5,4,3,4,2,4,4,4,15.0,27.0,satisfied,42.0,4.0
Female,Loyal Customer,16,Business travel,Business,2678.5,5,5,5,1,3,4,4,4,3,3,1,4,4,4,5.0,10.0,satisfied,15.0,3.5
Female,disloyal Customer,42,Business travel,Business,115.0,5,5,5,4,2,4,3,4,4,4,3,3,3,4,4.0,0.0,neutral or dissatisfied,4.0,3.5
Male,Loyal Customer,49,Personal Travel,Eco,1051.0,2,3,2,2,3,3,3,4,3,2,2,3,2,3,0.0,0.0,neutral or dissatisfied,0.0,2.7
Male,Loyal Customer,26,Personal Travel,Eco,173.0,1,3,0,3,2,2,3,2,1,2,2,4,2,2,7.0,12.0,neutral or dissatisfied,19.0,2.1
Male,Loyal Customer,65,Business travel,Eco,1253.0,2,5,2,4,3,2,2,3,2,3,2,4,2,2,0.0,0.0,neutral or dissatisfied,0.0,2.5
Female,Loyal Customer,12,Personal Travel,Eco,1212.0,1,1,1,3,3,1,4,4,3,4,2,3,3,4,0.0,0.0,neutral or dissatisfied,0.0,3.1
Female,Loyal Customer,50,Business travel,Business,1063.0,4,5,4,4,4,3,5,5,5,3,2,3,5,5,0.0,0.0,neutral or dissatisfied,0.0,4.1
Female,Loyal Customer,52,Business travel,Business,2678.5,5,5,5,1,3,5,4,5,4,4,4,1,5,5,8.0,15.0,satisfied,23.0,4.0
Female,Loyal Customer,27,Business travel,Eco Plus,627.0,3,3,3,3,2,2,3,3,3,3,3,3,3,3,13.0,8.0,neutral or dissatisfied,21.0,2.9
Male,disloyal Customer,44,Business travel,Business,405.0,5,5,5,4,4,5,4,4,4,2,3,3,4,4,1.0,6.0,neutral or dissatisfied,7.0,3.7
Female,Loyal Customer,27,Business travel,Business,1180.0,5,4,4,3,4,5,5,5,5,4,2,2,5,4,2.0,1.0,neutral or dissatisfied,3.0,4.1
Male,Loyal Customer,44,Personal Travel,Eco,469.0,3,5,3,1,1,4,2,1,1,2,2,1,2,3,30.0,38.0,neutral or dissatisfied,68.0,1.8
Female,Loyal Customer,36,Personal Travel,Eco,821.0,2,3,3,3,1,2,1,1,0,1,3,4,1,1,1.0,0.0,neutral or dissatisfied,1.0,1.5
Female,Loyal Customer,40,Business travel,Business,2290.0,3,5,4,1,3,4,4,3,4,3,4,4,4,4,0.0,0.0,satisfied,0.0,3.6
Female,Loyal Customer,31,Business travel,Business,2678.5,3,3,4,4,3,3,3,2,3,3,3,4,3,3,4.0,0.0,satisfied,4.0,3.0
Female,Loyal Customer,31,Personal Travel,Eco,231.0,3,3,4,3,1,3,2,1,2,2,4,2,1,1,4.0,12.0,neutral or dissatisfied,16.0,1.9
Male,Loyal Customer,28,Personal Travel,Business,219.0,4,5,4,5,5,5,5,5,5,5,3,3,5,5,0.0,0.0,neutral or dissatisfied,0.0,4.5
Female,Loyal Customer,49,Business travel,Eco,747.0,3,5,2,2,3,2,4,3,5,5,3,5,3,3,0.0,0.0,neutral or dissatisfied,0.0,3.7
Female,Loyal Customer,65,Business travel,Business,1013.0,3,3,4,0,4,4,4,4,4,2,5,3,3,4,4.0,2.0,neutral or dissatisfied,6.0,3.6
Male,Loyal Customer,74,Business travel,Business,613.0,4,5,4,1,4,4,4,4,3,3,2,3,4,3,32.5,40.0,neutral or dissatisfied,72.5,3.4
Male,Loyal Customer,54,Business travel,Business,300.0,2,5,3,4,3,4,4,4,4,4,2,3,4,3,5.0,2.0,satisfied,7.0,3.3
Female,Loyal Customer,40,Business travel,Business,1035.0,3,5,4,1,5,4,4,5,4,4,2,3,5,5,0.0,0.0,satisfied,0.0,4.0
