id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
2156,Female,disloyal Customer,59,Business travel,Business,127,4,5,5,2,2,5,2,3,3,3,3,2,4,3,7,,neutral or dissatisfied
2157,Female,Loyal Customer,48,Business travel,Eco,900,1,4,1,3,3,2,2,2,3,2,3,3,2,2,20,12.0,neutral or dissatisfied
2158,Female,Loyal Customer,43,Business travel,Business,1668,3,4,3,4,3,4,4,5,5,4,2,3,5,4,8,18.0,satisfied
2159,Female,Loyal Customer,37,Business travel,Business,631,5,5,4,2,3,4,4,3,4,3,4,2,5,4,6,16.0,satisfied
2160,Female,Loyal Customer,51,Business travel,Business,327,5,5,5,3,4,5,4,4,4,3,4,4,4,5,7,13.0,satisfied
2161,Male,Loyal Customer,12,Business travel,Business,1617,4,4,4,2,5,5,3,4,4,4,2,5,3,4,0,0.0,satisfied
2162,Female,Loyal Customer,68,Business travel,Business,277,4,5,4,3,4,3,3,4,4,4,5,4,3,4,0,0.0,satisfied
2163,Male,Loyal Customer,36,Business travel,Eco Plus,1371,4,5,3,3,2,3,2,3,3,3,3,2,2,2,0,0.0,neutral or dissatisfied
2164,Female,Loyal Customer,26,Personal Travel,Eco,3063,2,3,2,4,4,2,3,4,4,4,3,5,3,3,0,0.0,satisfied
2165,Male,disloyal Customer,57,Business travel,Business,528,5,4,5,4,4,5,5,4,4,5,5,3,5,4,12,6.0,satisfied
2166,Male,Loyal Customer,57,Business travel,Business,862,5,5,5,3,5,4,4,5,4,3,4,3,4,5,1,0.0,satisfied
2167,Male,disloyal Customer,39,Business travel,Eco Plus,486,3,5,3,1,4,3,2,3,2,2,4,3,2,2,20,11.0,neutral or dissatisfied
2168,Male,Loyal Customer,60,Personal Travel,Eco,1207,3,4,2,2,4,2,3,3,2,2,4,3,4,3,0,0.0,satisfied
2169,Female,Loyal Customer,55,Personal Travel,Eco,754,2,4,2,2,5,2,3,4,3,2,2,3,4,4,10,18.0,neutral or dissatisfied
2170,Female,Loyal Customer,46,Business travel,Eco,1070,3,2,2,4,3,2,3,2,2,3,3,2,1,3,18,13.0,neutral or dissatisfied
2171,Male,Loyal Customer,15,Personal Travel,Eco,697,2,3,3,4,3,3,4,4,4,4,3,3,4,4,2,4.0,neutral or dissatisfied
2172,Male,Loyal Customer,42,Business travel,Business,54,4,5,5,3,4,5,4,4,3,3,2,2,3,3,35,31.0,satisfied
2173,Male,Loyal Customer,40,Personal Travel,Eco Plus,1745,3,3,2,5,3,3,2,2,1,1,4,3,3,2,0,0.0,neutral or dissatisfied
2174,Male,Loyal Customer,36,Business travel,Business,1306,1,3,2,3,3,2,3,4,4,4,1,3,5,4,11,29.0,satisfied
2175,Female,Loyal Customer,34,Business travel,Business,347,4,5,4,5,3,5,3,4,3,3,2,2,3,5,3,0.0,satisfied
2176,Male,Loyal Customer,51,Business travel,Business,1094,4,3,3,2,4,4,5,5,5,4,5,4,5,4,2,0.0,satisfied
2177,Female,Loyal Customer,21,Personal Travel,Business,201,5,5,4,4,3,4,4,4,3,4,3,3,4,4,14,12.0,satisfied
2178,Male,disloyal Customer,58,Business travel,Business,1688,3,5,3,3,3,3,3,3,2,2,2,2,4,3,0,0.0,satisfied
2179,Female,Loyal Customer,39,Business travel,Business,970,4,5,4,3,3,4,5,4,2,3,1,4,3,4,6,13.0,satisfied
2180,Male,disloyal Customer,27,Business travel,Business,749,5,5,4,3,3,4,5,4,3,3,4,4,4,5,11,3.0,satisfied
2181,Male,Loyal Customer,36,Personal Travel,Business,651,5,4,4,1,3,3,4,5,4,4,3,2,5,5,66,67.0,satisfied
2182,Male,disloyal Customer,43,Business travel,Eco Plus,1757,4,5,4,4,1,5,1,1,1,1,4,3,1,1,1,0.0,satisfied
2183,Female,disloyal Customer,62,Personal Travel,Eco,1031,0,3,2,2,3,2,3,2,2,3,1,3,1,2,42,46.0,neutral or dissatisfied
2184,Female,Loyal Customer,51,Business travel,Business,1130,5,5,5,5,5,5,4,5,4,4,3,3,4,4,1,21.0,neutral or dissatisfied
2185,Male,Loyal Customer,58,Personal Travel,Eco,477,5,5,3,2,3,4,1,3,2,2,4,2,3,2,13,23.0,neutral or dissatisfied
2186,Female,Loyal Customer,39,Business travel,Business,1275,3,3,5,3,4,3,5,4,4,4,3,3,5,5,3,21.0,neutral or dissatisfied
2187,Male,Loyal Customer,37,Business travel,Business,287,3,4,4,4,4,3,3,4,3,4,4,4,3,4,25,28.0,neutral or dissatisfied
2188,Female,Loyal Customer,68,Business travel,Business,622,4,5,4,5,4,4,4,3,5,5,3,3,5,4,22,14.0,neutral or dissatisfied
2189,Male,Loyal Customer,38,Business travel,Business,2075,4,4,4,3,4,4,4,3,4,3,3,2,5,5,0,0.0,satisfied
2190,Female,disloyal Customer,32,Business travel,Business,551,4,5,5,1,4,5,4,3,5,3,3,4,4,4,22,16.0,satisfied
2191,Male,Loyal Customer,30,Business travel,Eco,2386,2,2,4,2,2,3,2,3,2,3,3,4,4,2,1,0.0,neutral or dissatisfied
2192,Female,Loyal Customer,44,Business travel,Business,137,4,4,4,4,4,4,4,4,3,3,3,4,4,2,3,16.0,satisfied
2193,Male,Loyal Customer,24,Business travel,Business,528,3,5,5,3,4,4,5,5,4,4,2,4,4,4,8,0.0,satisfied
2194,Female,Loyal Customer,43,Business travel,Eco,551,3,2,3,4,1,2,2,3,3,3,3,4,2,3,21,20.0,satisfied
2195,Female,Loyal Customer,42,Business travel,Business,220,4,5,5,3,5,5,5,5,5,4,2,4,5,5,6,17.0,satisfied
2196,Male,Loyal Customer,49,Personal Travel,Eco,1588,1,2,2,3,3,1,3,3,3,3,2,2,3,4,1,0.0,neutral or dissatisfied
2197,Female,Loyal Customer,14,Business travel,Eco,764,1,4,0,4,2,1,2,3,3,2,4,3,3,3,0,0.0,neutral or dissatisfied
2198,Female,Loyal Customer,10,Business travel,Business,539,3,3,3,3,3,3,3,3,3,1,4,1,4,4,19,9.0,satisfied
2199,Male,Loyal Customer,33,Business travel,Eco Plus,1125,3,3,3,2,2,2,2,1,4,3,4,3,2,3,45,62.0,neutral or dissatisfied
2200,Male,Loyal Customer,38,Personal Travel,Eco,1236,2,3,2,3,3,2,2,3,2,2,4,3,3,3,6,9.0,satisfied
2201,Male,Loyal Customer,23,Personal Travel,Eco,815,1,2,1,3,2,1,1,1,2,2,4,3,3,2,13,8.0,neutral or dissatisfied
2202,Female,disloyal Customer,19,Personal Travel,Eco,1917,2,3,2,2,2,2,2,1,2,2,3,4,2,2,0,0.0,neutral or dissatisfied
2203,Male,disloyal Customer,46,Business travel,Business,436,4,4,3,1,5,3,5,5,5,5,4,3,5,5,0,0.0,satisfied
2204,Male,Loyal Customer,35,Business travel,Eco,473,3,4,3,1,2,3,1,2,0,1,3,2,2,3,16,19.0,neutral or dissatisfied
2205,Female,Loyal Customer,52,Business travel,Business,253,2,4,3,2,2,3,4,3,3,3,4,2,4,4,29,33.0,satisfied
2206,Male,Loyal Customer,19,Personal Travel,Business,964,4,4,5,4,3,4,4,4,4,3,4,3,3,4,0,0.0,satisfied
2207,Male,Loyal Customer,38,Business travel,Eco,301,3,3,3,2,3,1,3,3,2,2,4,3,2,2,1,0.0,neutral or dissatisfied
2208,Female,Loyal Customer,65,Personal Travel,Eco,109,3,5,2,2,2,3,3,3,4,3,3,2,4,4,0,0.0,neutral or dissatisfied
2209,Female,Loyal Customer,36,Business travel,Eco,2060,2,3,3,3,4,2,4,3,3,3,1,3,5,4,13,15.0,satisfied
2210,Male,Loyal Customer,31,Personal Travel,Eco Plus,1334,3,3,2,2,3,2,3,3,3,3,3,4,3,2,8,12.0,satisfied
2211,Female,disloyal Customer,54,Business travel,Business,562,4,3,5,2,3,4,3,3,4,3,5,4,4,4,37,44.0,neutral or dissatisfied
2212,Male,Loyal Customer,58,Personal Travel,Eco,449,2,3,3,5,2,2,3,2,3,2,4,3,3,3,0,0.0,satisfied
2213,Male,disloyal Customer,30,Business travel,Eco,217,1,1,1,4,3,1,3,2,2,2,3,3,2,3,0,0.0,neutral or dissatisfied
2214,Male,Loyal Customer,32,Personal Travel,Eco Plus,1900,3,2,3,2,2,2,2,2,1,1,4,5,3,1,4,0.0,neutral or dissatisfied
2215,Female,disloyal Customer,53,Business travel,Eco,1323,2,3,2,5,0,2,2,0,0,1,3,4,2,1,0,0.0,neutral or dissatisfied
2216,Male,Loyal Customer,45,Business travel,Eco,522,2,2,2,3,2,1,2,1,0,1,3,2,1,0,31,30.0,neutral or dissatisfied
2217,Female,Loyal Customer,45,Personal Travel,Business,578,4,4,4,5,4,4,5,5,5,4,3,2,5,5,75,73.0,satisfied
2218,Female,disloyal Customer,44,Business travel,Business,1238,4,5,4,0,4,3,4,4,4,4,2,3,4,3,0,0.0,satisfied
2219,Male,disloyal Customer,39,Business travel,Eco,1102,2,4,2,3,2,2,2,1,2,3,4,3,2,3,6,2.0,neutral or dissatisfied
2220,Female,Loyal Customer,55,Business travel,Business,1235,4,4,4,3,5,4,5,5,4,4,3,3,5,5,15,25.0,satisfied
2221,Male,Loyal Customer,61,Business travel,Business,280,4,5,5,3,4,5,5,5,4,4,3,2,4,5,0,0.0,neutral or dissatisfied
2222,Female,Loyal Customer,25,Business travel,Eco,728,2,4,3,0,3,1,1,1,3,2,3,3,3,2,30,37.0,neutral or dissatisfied
2223,Male,Loyal Customer,53,Business travel,Eco,1834,2,3,1,3,2,2,2,2,2,2,2,0,2,3,7,3.0,neutral or dissatisfied
2224,Male,Loyal Customer,39,Business travel,Business,960,5,5,5,1,3,5,4,4,4,5,5,3,5,4,1,0.0,satisfied
2225,Female,disloyal Customer,21,Business travel,Business,326,5,5,5,4,4,5,5,5,5,5,5,1,4,5,1,0.0,neutral or dissatisfied
2226,Male,Loyal Customer,26,Business travel,Eco,1125,2,4,3,3,3,3,2,3,2,2,5,5,2,3,9,30.0,satisfied
2227,Female,Loyal Customer,34,Business travel,Business,180,4,5,4,3,3,4,4,3,2,2,4,1,3,3,11,6.0,neutral or dissatisfied
2228,Female,Loyal Customer,56,Personal Travel,Eco,962,3,2,2,4,3,3,2,3,3,2,3,4,3,2,0,0.0,satisfied
2229,Female,Loyal Customer,24,Business travel,Business,269,4,4,4,3,4,5,5,5,4,3,3,3,5,4,0,0.0,satisfied
2230,Male,Loyal Customer,13,Personal Travel,Eco,1208,2,3,2,2,2,2,2,2,3,1,4,2,2,3,12,3.0,neutral or dissatisfied
2231,Male,Loyal Customer,36,Personal Travel,Eco Plus,584,2,3,3,3,3,2,2,3,2,3,4,3,3,3,0,0.0,neutral or dissatisfied
2232,Male,Loyal Customer,33,Business travel,Eco,1338,3,4,3,3,2,4,2,2,2,1,2,5,1,1,0,0.0,satisfied
2233,Female,Loyal Customer,56,Personal Travel,Eco,318,2,2,1,4,2,2,4,3,4,3,2,2,3,3,5,3.0,neutral or dissatisfied
2234,Male,disloyal Customer,44,Business travel,Eco Plus,1139,4,5,3,1,3,4,4,4,3,3,2,1,4,4,40,38.0,satisfied
2235,Male,Loyal Customer,51,Business travel,Business,1257,5,4,5,2,4,5,4,4,4,4,1,2,4,4,8,5.0,satisfied
2236,Male,disloyal Customer,34,Business travel,Business,1143,5,5,5,2,3,5,3,3,3,3,5,3,3,4,1,1.0,satisfied
2237,Female,Loyal Customer,22,Business travel,Eco,437,3,3,3,4,3,2,3,2,3,3,3,4,2,3,0,0.0,neutral or dissatisfied
2238,Female,Loyal Customer,60,Business travel,Business,661,3,4,3,3,3,2,4,4,5,3,3,4,4,3,2,0.0,satisfied
2239,Male,Loyal Customer,31,Business travel,Business,1253,3,4,4,3,3,3,3,3,4,3,3,2,3,3,8,3.0,neutral or dissatisfied
2240,Female,Loyal Customer,50,Business travel,Business,234,5,4,4,2,4,4,5,4,4,4,1,3,5,5,0,0.0,satisfied
2241,Female,Loyal Customer,34,Business travel,Business,1831,5,4,5,1,3,5,2,3,2,2,4,3,2,2,0,0.0,satisfied
2242,Male,Loyal Customer,50,Business travel,Business,986,4,4,4,3,4,5,4,4,4,3,4,3,4,5,0,0.0,satisfied
2243,Male,Loyal Customer,45,Business travel,Business,301,3,2,3,3,4,4,5,5,5,4,3,4,5,5,25,29.0,satisfied
2244,Male,Loyal Customer,42,Business travel,Business,319,5,4,5,3,4,5,4,4,4,5,4,5,4,5,23,21.0,neutral or dissatisfied
2245,Male,Loyal Customer,46,Personal Travel,Eco,695,4,4,3,0,5,3,3,4,3,2,5,2,3,2,0,0.0,neutral or dissatisfied
2246,Female,Loyal Customer,36,Business travel,Business,705,3,5,3,4,4,4,5,4,5,5,3,3,5,5,14,2.0,satisfied
2247,Female,Loyal Customer,14,Business travel,Business,561,4,5,4,4,4,4,3,4,4,3,2,2,2,4,3,12.0,satisfied
2248,Male,Loyal Customer,44,Business travel,Eco,235,4,4,3,4,2,3,2,3,2,3,4,3,3,3,0,0.0,neutral or dissatisfied
2249,Female,Loyal Customer,57,Personal Travel,Eco,1379,1,2,1,1,2,1,3,2,2,1,4,4,2,3,28,12.0,neutral or dissatisfied
2250,Female,Loyal Customer,39,Personal Travel,Eco,1215,1,5,1,3,1,2,3,3,2,2,4,4,2,2,0,0.0,neutral or dissatisfied
2251,Female,Loyal Customer,35,Business travel,Business,699,3,5,3,4,4,3,5,5,5,4,1,2,5,4,18,19.0,satisfied
2252,Female,Loyal Customer,44,Personal Travel,Eco,787,3,4,2,2,4,2,3,3,3,2,4,3,4,3,0,0.0,neutral or dissatisfied
2253,Male,Loyal Customer,55,Business travel,Eco,684,2,1,3,2,2,2,3,4,3,3,4,2,2,2,15,22.0,neutral or dissatisfied
2254,Male,Loyal Customer,36,Personal Travel,Eco,560,1,3,1,4,2,2,1,2,2,2,3,3,2,2,9,17.0,satisfied
2255,Female,disloyal Customer,18,Business travel,Business,533,5,4,5,1,3,4,5,4,4,4,1,5,4,5,0,0.0,neutral or dissatisfied
2256,Female,Loyal Customer,42,Personal Travel,Eco,989,3,3,3,3,1,4,1,1,1,1,2,3,1,1,6,11.0,neutral or dissatisfied
2257,Male,disloyal Customer,45,Business travel,Business,1203,5,5,5,4,3,5,4,5,5,5,4,3,4,4,5,18.0,neutral or dissatisfied
2258,Female,Loyal Customer,43,Business travel,Business,865,4,4,4,3,4,4,5,5,5,4,4,4,5,5,15,5.0,satisfied
2259,Male,Loyal Customer,33,Business travel,Business,686,5,5,5,3,4,5,4,5,5,3,2,2,4,5,1,4.0,satisfied
2260,Male,Loyal Customer,45,Business travel,Business,1996,3,3,4,3,4,3,3,4,3,4,3,2,3,4,3,0.0,satisfied
2261,Male,Loyal Customer,37,Business travel,Business,1800,4,5,5,3,3,4,3,2,3,2,2,3,4,4,0,0.0,satisfied
2262,Female,disloyal Customer,33,Personal Travel,Business,514,4,5,5,2,3,5,5,5,5,4,5,3,5,4,3,6.0,neutral or dissatisfied
2263,Male,Loyal Customer,36,Personal Travel,Eco,297,2,2,1,3,2,1,1,2,1,2,2,3,2,2,0,0.0,neutral or dissatisfied
2264,Male,Loyal Customer,43,Personal Travel,Eco,895,3,3,3,3,4,3,4,4,4,4,4,3,4,4,0,0.0,neutral or dissatisfied
2265,Male,Loyal Customer,44,Business travel,Eco Plus,443,3,4,3,4,4,3,4,3,3,4,5,4,4,4,26,25.0,neutral or dissatisfied
2266,Male,Loyal Customer,32,Personal Travel,Eco Plus,1649,4,3,3,4,4,4,3,4,4,3,5,4,3,3,16,0.0,satisfied
2267,Male,Loyal Customer,43,Personal Travel,Eco Plus,1100,4,5,3,4,3,4,2,2,2,2,5,3,2,2,0,0.0,satisfied
2268,Female,Loyal Customer,46,Business travel,Business,1563,4,3,5,4,4,5,5,5,5,3,4,4,5,5,5,30.0,neutral or dissatisfied
2269,Male,Loyal Customer,48,Business travel,Eco,65,3,2,4,3,3,4,4,2,2,2,4,2,3,2,0,0.0,neutral or dissatisfied
2270,Male,disloyal Customer,47,Business travel,Eco,1406,2,5,3,2,1,2,3,2,3,1,4,4,3,3,36,25.0,neutral or dissatisfied
2271,Male,Loyal Customer,60,Business travel,Business,1944,4,3,3,4,3,4,2,2,2,2,3,2,2,3,0,0.0,neutral or dissatisfied
2272,Male,Loyal Customer,50,Business travel,Business,305,4,4,4,1,4,4,5,5,4,5,4,4,5,5,0,0.0,satisfied
2273,Male,Loyal Customer,70,Business travel,Business,772,3,2,4,2,4,3,4,4,2,4,3,5,3,3,0,0.0,satisfied
2274,Male,disloyal Customer,55,Business travel,Eco,458,3,5,3,1,1,3,1,2,0,1,1,2,1,1,2,16.0,neutral or dissatisfied
2275,Female,disloyal Customer,55,Business travel,Eco,759,2,4,2,2,2,2,2,2,3,2,4,4,3,3,1,,neutral or dissatisfied
2276,Female,Loyal Customer,22,Personal Travel,Eco,1867,2,2,2,3,3,3,3,3,3,3,5,4,3,3,23,22.0,satisfied
2277,Male,Loyal Customer,51,Business travel,Eco,113,1,3,2,3,2,2,3,2,2,2,2,5,0,1,0,0.0,neutral or dissatisfied
2278,Male,Loyal Customer,53,Personal Travel,Eco,744,3,3,3,2,2,2,2,1,1,1,3,4,3,1,0,0.0,neutral or dissatisfied
2279,Male,disloyal Customer,39,Business travel,Business,1508,4,3,4,2,4,4,4,4,5,4,5,5,5,4,37,29.0,neutral or dissatisfied
2280,Female,Loyal Customer,9,Personal Travel,Eco,1302,3,3,3,3,4,3,4,3,5,3,4,3,4,4,0,0.0,neutral or dissatisfied
2281,Male,Loyal Customer,7,Personal Travel,Business,2896,4,5,4,4,5,4,5,5,4,5,3,2,5,5,11,5.0,satisfied
2282,Female,Loyal Customer,36,Personal Travel,Eco Plus,1296,1,2,2,2,5,1,3,3,3,2,3,2,3,4,21,15.0,neutral or dissatisfied
2283,Female,Loyal Customer,32,Business travel,Business,615,4,5,5,2,4,4,5,4,4,3,2,2,4,5,33,29.0,satisfied
2284,Female,Loyal Customer,18,Business travel,Business,1405,3,4,4,4,4,3,5,4,4,2,4,3,4,4,10,0.0,satisfied
2285,Female,Loyal Customer,46,Business travel,Eco Plus,300,2,3,3,3,3,4,2,2,3,3,2,3,3,2,0,0.0,satisfied
2286,Female,Loyal Customer,23,Business travel,Business,295,4,4,5,3,5,4,3,4,4,3,5,3,4,5,0,0.0,satisfied
2287,Male,disloyal Customer,15,Personal Travel,Eco,453,4,5,3,4,1,5,2,2,2,2,3,5,2,2,8,7.0,neutral or dissatisfied
2288,Female,Loyal Customer,71,Business travel,Business,455,3,2,2,3,4,2,4,5,4,4,2,4,3,4,0,0.0,satisfied
2289,Male,Loyal Customer,48,Business travel,Eco,1952,1,3,2,3,1,2,1,2,2,1,3,2,2,2,0,0.0,neutral or dissatisfied
2290,Male,Loyal Customer,34,Personal Travel,Eco,515,3,4,2,5,3,3,2,1,2,0,3,3,1,2,0,0.0,neutral or dissatisfied
2291,Female,disloyal Customer,19,Business travel,Business,1369,2,4,2,4,4,3,4,3,3,3,3,5,4,5,6,4.0,neutral or dissatisfied
2292,Female,Loyal Customer,27,Personal Travel,Eco,1396,3,2,2,2,2,2,2,3,2,2,2,2,3,2,2,0.0,satisfied
2293,Female,Loyal Customer,31,Business travel,Business,366,3,2,3,3,5,2,4,5,4,4,4,3,4,4,2,0.0,satisfied
2294,Male,Loyal Customer,32,Business travel,Eco,1358,2,4,2,4,3,2,2,4,3,2,3,4,3,3,6,8.0,neutral or dissatisfied
2295,Male,Loyal Customer,35,Business travel,Eco,991,3,4,2,3,4,3,5,5,4,3,4,3,5,5,8,0.0,neutral or dissatisfied
2296,Female,Loyal Customer,22,Business travel,Business,481,5,5,5,1,5,5,5,5,5,5,3,2,4,4,0,0.0,satisfied
2297,Male,Loyal Customer,27,Personal Travel,Eco Plus,1836,3,3,3,3,3,3,4,3,4,3,3,5,4,3,1,0.0,satisfied
2298,Female,Loyal Customer,14,Personal Travel,Eco,490,1,3,2,5,4,2,3,4,3,2,5,3,3,3,13,27.0,neutral or dissatisfied
2299,Male,Loyal Customer,10,Business travel,Business,73,4,3,4,3,5,4,5,5,4,4,2,3,4,5,26,6.0,satisfied
2300,Male,Loyal Customer,17,Business travel,Business,1127,5,5,4,3,4,5,3,3,3,3,4,4,3,3,0,0.0,satisfied
2301,Female,disloyal Customer,31,Personal Travel,Business,1386,3,4,4,2,4,4,4,5,4,3,2,2,5,5,0,0.0,neutral or dissatisfied
2302,Female,Loyal Customer,35,Business travel,Eco,2883,3,4,2,3,1,3,2,2,3,2,4,2,2,2,8,27.0,neutral or dissatisfied
2303,Male,Loyal Customer,47,Business travel,Business,1069,5,4,4,1,3,5,4,4,4,4,5,4,5,4,54,51.0,satisfied
2304,Female,Loyal Customer,46,Business travel,Business,119,3,4,4,4,4,3,3,3,3,3,3,1,3,4,22,17.0,satisfied
2305,Female,Loyal Customer,49,Personal Travel,Eco Plus,2276,4,3,3,3,1,2,2,2,3,2,3,2,2,2,12,34.0,neutral or dissatisfied
2306,Female,Loyal Customer,35,Business travel,Business,1143,3,2,4,2,4,4,4,5,4,4,4,3,4,5,1,13.0,satisfied
2307,Female,Loyal Customer,50,Business travel,Eco,1278,0,4,1,3,3,2,2,3,3,3,1,2,2,3,37,35.0,neutral or dissatisfied
2308,Male,Loyal Customer,8,Personal Travel,Eco,2060,2,3,2,3,2,1,3,2,2,2,3,4,3,2,3,0.0,neutral or dissatisfied
2309,Female,Loyal Customer,49,Personal Travel,Eco,1671,1,1,2,3,3,2,2,2,2,2,3,4,1,2,0,0.0,neutral or dissatisfied
2310,Female,disloyal Customer,39,Business travel,Business,1422,5,5,5,3,4,5,4,4,5,4,1,4,5,4,9,12.0,neutral or dissatisfied
2311,Female,disloyal Customer,54,Business travel,Business,1272,4,5,4,5,4,4,5,5,5,5,4,4,5,5,25,11.0,satisfied
2312,Female,Loyal Customer,7,Personal Travel,Eco,429,3,3,3,5,3,2,4,3,2,3,2,2,3,2,0,0.0,neutral or dissatisfied
2313,Female,Loyal Customer,54,Business travel,Business,3151,4,4,5,5,5,5,5,4,4,4,3,3,5,5,1,5.0,neutral or dissatisfied
2314,Female,Loyal Customer,16,Personal Travel,Eco Plus,172,3,4,3,4,4,2,3,3,4,3,3,3,3,4,4,0.0,neutral or dissatisfied
2315,Female,Loyal Customer,57,Business travel,Eco,2190,2,5,3,1,2,3,1,1,1,1,3,4,1,0,2,2.0,neutral or dissatisfied
2316,Male,Loyal Customer,27,Business travel,Eco,798,2,3,1,3,3,2,3,2,3,3,4,3,1,3,36,56.0,neutral or dissatisfied
2317,Male,Loyal Customer,46,Personal Travel,Eco,970,2,2,1,3,1,2,2,1,2,1,3,3,2,1,2,0.0,neutral or dissatisfied
2318,Male,Loyal Customer,39,Business travel,Eco Plus,1404,2,3,2,3,4,3,5,5,4,4,3,4,3,4,1,0.0,neutral or dissatisfied
2319,Male,Loyal Customer,55,Business travel,Business,1929,3,4,3,2,4,3,4,5,5,4,4,2,5,5,1,0.0,satisfied
2320,Female,disloyal Customer,42,Business travel,Business,1546,5,3,5,1,4,5,5,4,5,5,2,2,5,4,4,3.0,neutral or dissatisfied
2321,Female,Loyal Customer,64,Personal Travel,Eco Plus,837,3,3,3,3,3,4,3,3,3,3,3,3,2,2,4,0.0,satisfied
2322,Female,Loyal Customer,29,Business travel,Business,387,4,2,4,3,2,3,2,3,3,2,3,2,3,3,0,0.0,satisfied
2323,Male,Loyal Customer,24,Personal Travel,Eco Plus,1159,3,5,4,3,2,3,2,2,3,2,2,5,2,3,0,0.0,neutral or dissatisfied
2324,Female,Loyal Customer,30,Business travel,Business,1715,4,2,4,3,4,3,4,3,4,3,2,3,3,3,9,0.0,satisfied
2325,Female,Loyal Customer,49,Business travel,Business,406,2,3,2,4,4,1,5,4,5,4,3,4,5,4,9,17.0,satisfied
2326,Female,disloyal Customer,50,Personal Travel,Eco,1247,1,2,2,4,2,2,1,2,2,1,2,2,2,3,11,26.0,neutral or dissatisfied
2327,Male,Loyal Customer,21,Personal Travel,Eco,651,3,3,4,3,3,3,4,3,3,3,4,3,4,3,0,0.0,neutral or dissatisfied
2328,Female,Loyal Customer,27,Personal Travel,Eco,108,3,3,3,3,2,3,2,1,1,2,3,2,2,2,0,0.0,satisfied
2329,Male,Loyal Customer,44,Business travel,Business,1333,3,3,3,3,5,4,5,5,5,4,4,2,5,5,31,19.0,satisfied
2330,Female,Loyal Customer,59,Business travel,Eco,902,2,5,2,2,1,2,1,2,2,1,2,4,2,2,1,0.0,neutral or dissatisfied
2331,Female,Loyal Customer,29,Business travel,Eco,1574,3,4,3,2,4,3,4,3,3,3,4,3,3,3,2,7.0,satisfied
2332,Female,Loyal Customer,19,Business travel,Business,609,3,4,2,4,5,2,4,4,3,3,2,4,4,4,0,0.0,satisfied
2333,Male,disloyal Customer,55,Business travel,Business,1656,4,5,4,3,4,4,5,4,5,4,2,4,4,4,0,0.0,satisfied
2334,Male,Loyal Customer,14,Business travel,Eco,562,2,3,2,3,2,3,3,1,2,2,2,5,2,3,6,12.0,neutral or dissatisfied
2335,Male,Loyal Customer,48,Business travel,Business,1190,5,4,4,3,4,5,4,4,3,2,3,4,4,4,19,9.0,neutral or dissatisfied
2336,Male,Loyal Customer,7,Business travel,Eco Plus,413,3,3,3,3,4,2,4,3,4,1,4,4,3,4,78,75.0,neutral or dissatisfied
2337,Female,disloyal Customer,38,Business travel,Business,3338,3,4,3,3,3,3,4,5,4,5,3,2,3,4,0,0.0,neutral or dissatisfied
2338,Female,Loyal Customer,35,Business travel,Business,904,4,3,4,3,3,4,5,3,4,3,3,3,4,4,3,12.0,satisfied
2339,Male,Loyal Customer,28,Business travel,Eco,852,5,5,4,2,2,4,3,3,3,2,2,3,3,2,0,0.0,satisfied
2340,Female,Loyal Customer,62,Business travel,Eco,1858,3,3,3,2,3,2,2,3,3,3,2,1,2,3,0,0.0,neutral or dissatisfied
2341,Male,Loyal Customer,39,Business travel,Business,1942,5,2,5,4,3,5,3,4,3,4,4,3,5,4,1,0.0,satisfied
2342,Male,Loyal Customer,37,Personal Travel,Eco,1841,3,3,2,3,4,2,3,3,3,2,4,2,3,4,29,14.0,neutral or dissatisfied
2343,Female,Loyal Customer,36,Business travel,Business,1652,3,4,2,4,2,4,2,3,4,3,4,4,3,3,6,15.0,satisfied
2344,Male,Loyal Customer,28,Personal Travel,Eco,249,2,2,2,2,3,2,3,2,3,3,5,3,3,3,41,54.0,satisfied
2345,Male,Loyal Customer,67,Business travel,Eco Plus,910,2,4,3,3,4,2,5,5,4,4,3,3,4,4,0,0.0,satisfied
2346,Male,Loyal Customer,34,Personal Travel,Eco,3301,3,4,3,3,3,2,4,3,3,3,4,3,2,4,0,0.0,neutral or dissatisfied
2347,Male,disloyal Customer,68,Personal Travel,Eco,425,1,3,1,3,3,1,1,2,1,1,2,4,1,1,24,35.0,neutral or dissatisfied
2348,Female,disloyal Customer,28,Personal Travel,Eco,1263,3,4,2,0,3,3,2,2,2,2,3,1,2,2,3,3.0,neutral or dissatisfied
2349,Male,Loyal Customer,40,Personal Travel,Eco,551,1,3,2,4,3,2,2,2,3,2,3,3,2,2,13,0.0,neutral or dissatisfied
2350,Female,Loyal Customer,33,Personal Travel,Eco,475,3,4,2,3,1,2,2,1,0,2,2,2,2,2,4,2.0,neutral or dissatisfied
2351,Female,Loyal Customer,28,Business travel,Business,502,5,4,4,2,3,4,5,4,3,4,4,3,3,3,9,12.0,neutral or dissatisfied
2352,Female,disloyal Customer,37,Business travel,Business,1694,5,3,4,2,3,5,3,3,3,4,3,3,3,3,0,0.0,neutral or dissatisfied
